Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D23,Other,1,West Humber-Clairville (1),2015-01-16T00:00:00Z,2015
D53,Shooting,55,Thorncliffe Park (55),2017-02-25T00:00:00Z,2017
D23,Shooting,1,West Humber-Clairville (1),2016-05-15T00:00:00Z,2016
D42,Shooting,131,Rouge (131),2017-03-16T00:00:00Z,2017
D54,Shooting,61,Taylor-Massey (61),2017-03-18T00:00:00Z,2017
D11,Shooting,8,Humber Heights-Westmount (8),2017-03-31T00:00:00Z,2017
D42,Shooting,117,L'Amoreaux (117),2017-04-14T00:00:00Z,2017
D55,Shooting,70,South Riverdale (70),2017-04-14T00:00:00Z,2017
D13,Shooting,108,Briar Hill-Belgravia (108),2017-04-21T00:00:00Z,2017
D55,Other,68,North Riverdale (68),2017-03-04T00:00:00Z,2017
D55,Shooting,70,South Riverdale (70),2017-05-22T00:00:00Z,2017
D12,Other,110,Keelesdale-Eglinton West (110),2017-06-07T00:00:00Z,2017
D31,Shooting,22,Humbermede (22),2017-06-11T00:00:00Z,2017
D11,Stabbing,93,Dovercourt-Wallace Emerson-Junction (93),2017-06-23T00:00:00Z,2017
D51,Shooting,72,Regent Park (72),2017-07-02T00:00:00Z,2017
D42,Shooting,131,Rouge (131),2017-07-23T00:00:00Z,2017
D42,Shooting,131,Rouge (131),2017-07-23T00:00:00Z,2017
D42,Shooting,132,Malvern (132),2017-07-23T00:00:00Z,2017
D32,Shooting,31,Yorkdale-Glen Park (31),2017-07-30T00:00:00Z,2017
D51,Shooting,73,Moss Park (73),2017-07-31T00:00:00Z,2017
D13,Shooting,106,Humewood-Cedarvale (106),2017-08-01T00:00:00Z,2017
D54,Stabbing,57,Broadview North (57),2017-07-31T00:00:00Z,2017
D31,Stabbing,25,Glenfield-Jane Heights (25),2017-08-17T00:00:00Z,2017
D55,Other,70,South Riverdale (70),2017-05-22T00:00:00Z,2017
D14,Shooting,78,Kensington-Chinatown (78),2017-08-20T00:00:00Z,2017
D31,Stabbing,25,Glenfield-Jane Heights (25),2017-08-22T00:00:00Z,2017
D31,Shooting,26,Downsview-Roding-CFB (26),2017-08-31T00:00:00Z,2017
D23,Shooting,5,Elms-Old Rexdale (5),2017-09-02T00:00:00Z,2017
D43,Stabbing,138,Eglinton East (138),2017-09-06T00:00:00Z,2017
D33,Stabbing,53,Henry Farm (53),2017-09-13T00:00:00Z,2017
D41,Shooting,126,Dorset Park (126),2017-09-14T00:00:00Z,2017
D51,Shooting,72,Regent Park (72),2017-09-16T00:00:00Z,2017
D52,Shooting,77,Waterfront Communities-The Island (77),2017-09-16T00:00:00Z,2017
D41,Stabbing,122,Birchcliffe-Cliffside (122),2017-09-10T00:00:00Z,2017
D31,Shooting,26,Downsview-Roding-CFB (26),2017-09-29T00:00:00Z,2017
